2024-06-19 01:20:30,767 DEBUG TestcontainersConfiguration: Testcontainers configuration overrides will be loaded from file:/C:/Users/Ольга/.testcontainers.properties
2024-06-19 01:20:31,714 INFO PullPolicy: Image pull policy will be performed by: DefaultPullPolicy()
2024-06-19 01:20:31,723 INFO ImageNameSubstitutor: Image name substitution will be performed by: DefaultImageNameSubstitutor (composite of 'ConfigurationFileImageNameSubstitutor' and 'PrefixingImageNameSubstitutor')
2024-06-19 01:20:38,728 INFO DockerClientProviderStrategy: Loaded org.testcontainers.dockerclient.NpipeSocketClientProviderStrategy from ~/.testcontainers.properties, will try it first
2024-06-19 01:20:39,066 DEBUG DockerClientProviderStrategy: Trying out strategy: NpipeSocketClientProviderStrategy
2024-06-19 01:20:47,795 DEBUG AbstrDockerCmd: Cmd: 
2024-06-19 01:20:48,732 DEBUG InternalHttpClient: ex-00000001: preparing request execution
2024-06-19 01:20:48,764 DEBUG RequestAddCookies: Cookie spec selected: strict
2024-06-19 01:20:49,119 DEBUG RequestAuthCache: Auth cache not set in the context
2024-06-19 01:20:49,119 DEBUG ProtocolExec: ex-00000001: target auth state: UNCHALLENGED
2024-06-19 01:20:49,174 DEBUG ProtocolExec: ex-00000001: proxy auth state: UNCHALLENGED
2024-06-19 01:20:49,174 DEBUG ConnectExec: ex-00000001: acquiring connection with route {}->npipe://localhost:2375
2024-06-19 01:20:49,174 DEBUG InternalHttpClient: ex-00000001: acquiring endpoint (3 MINUTES)
2024-06-19 01:20:49,177 DEBUG PoolingHttpClientConnectionManager: ex-00000001: endpoint lease request (3 MINUTES) [route: {}->npipe://localhost:2375][total available: 0; route allocated: 0 of 2147483647; total allocated: 0 of 2147483647]
2024-06-19 01:20:49,186 DEBUG PoolingHttpClientConnectionManager: ex-00000001: endpoint leased [route: {}->npipe://localhost:2375][total available: 0; route allocated: 1 of 2147483647; total allocated: 1 of 2147483647]
2024-06-19 01:20:50,257 DEBUG PoolingHttpClientConnectionManager: ex-00000001: acquired ep-00000000
2024-06-19 01:20:50,257 DEBUG InternalHttpClient: ex-00000001: acquired endpoint ep-00000000
2024-06-19 01:20:50,257 DEBUG ConnectExec: ex-00000001: opening connection {}->npipe://localhost:2375
2024-06-19 01:20:50,258 DEBUG InternalHttpClient: ep-00000000: connecting endpoint (3 MINUTES)
